features,class
"[-4.6428162e+02  1.6832164e+02 -8.3661789e+01  4.0220058e+01
  4.6990517e+01 -5.4650368e+01 -7.5057058e+00  3.3590395e+00
 -3.2947304e+01 -4.8964400e+00 -1.4999141e+01 -2.8886070e+01
  5.1107564e+00 -3.3154092e+00 -1.4928013e+01  3.1881576e+00
 -4.7424750e+00 -3.7595544e+00  4.4423857e+00 -1.1526474e+01
 -4.8366742e+00  2.4893267e+00 -1.4368844e+01 -4.8356752e+00
  3.0243158e+00 -1.2316487e+01 -4.7660656e+00  1.7598087e+00
 -8.0793095e+00 -2.0419664e+00 -3.3344322e-01 -6.4364653e+00
 -6.5010768e-01 -2.9727988e+00 -6.8180776e+00 -9.1009939e-01
 -5.0659275e+00 -6.7885413e+00  2.0900676e-01 -1.7005643e+00]",Number_6
"[-5.38108093e+02  1.53800110e+02 -7.91235733e+01  3.97748451e+01
  4.75142593e+01 -4.42872467e+01 -8.54811847e-01  6.08608055e+00
 -2.38606510e+01  4.30228662e+00 -9.72392559e+00 -2.17173481e+01
  1.17986155e+01  4.65571523e-01 -1.03740368e+01  7.36227322e+00
 -1.89250314e+00  2.39610747e-01  7.93769312e+00 -9.79502392e+00
 -2.64074826e+00  5.56263256e+00 -1.14411125e+01 -2.97733903e+00
  4.52688837e+00 -9.02925110e+00 -2.02540660e+00  9.93958175e-01
 -8.36987877e+00  1.28850114e+00  3.58588457e+00 -3.87896085e+00
  2.20770454e+00  1.59068108e+00 -1.81778848e+00  2.81048107e+00
 -1.57967186e+00 -3.58638597e+00  1.05428767e+00 -1.95166671e+00]",Number_6
"[-358.83987     133.23683     -76.73815      13.878891     29.027334
  -35.80855     -16.44035     -35.361336    -42.894413      7.63088
  -17.977419    -41.293976      2.4101179    -2.8732798   -20.519932
   -3.3234527   -11.213972    -12.744402     -2.5858128   -18.05056
  -14.683705     -4.5300884   -16.235325     -6.045154      0.55571306
  -16.60407      -6.8073554     4.252226     -7.558151     -2.4613547
    3.0906012    -5.6409044    -4.163156     -4.7910185    -8.099035
   -2.6927018    -5.3369293    -6.6639514     2.1431565     4.904925  ]",Number_7
"[-368.02783     149.42638     -76.43359      15.774316     27.559399
  -39.72848     -15.978929    -38.530075    -47.802044      9.333481
  -16.810509    -43.390488      2.904881     -1.6139315   -20.738188
   -5.114194    -15.744177    -16.580732     -3.3419418   -17.655727
  -13.408998     -3.7745833   -17.33379      -7.078769     -0.62307096
  -17.845379     -5.9664564     5.216179     -8.131435     -2.7390304
    2.7201598    -6.078644     -3.1706924    -4.601697    -10.371812
   -4.7844787    -5.9374247    -7.425584      0.45971063    3.6080718 ]",Number_7
"[-355.3567     140.64815    -83.30006     16.37913     31.83222
  -42.410942   -18.273392   -32.291096   -44.91162      8.101648
  -11.583547   -38.535233     1.2924078   -3.462755   -21.043198
   -3.2815716  -11.860166   -15.001221    -3.4126303  -17.508064
  -11.677284     1.5074205  -16.806976   -12.900937     0.6815522
  -14.731301   -12.070861     2.7798727   -4.7333217   -5.788179
    1.9953285    1.367472    -1.0810509   -8.049161    -9.974576
   -2.9981945   -6.5784492   -9.123195    -1.5272518    1.0625757]",Number_7
"[-3.5780673e+02  1.5232663e+02 -8.5873917e+01  1.1685639e+01
  3.2849022e+01 -4.3345684e+01 -2.4382736e+01 -3.3877331e+01
 -4.2181690e+01  5.5959773e+00 -1.5883976e+01 -3.8425240e+01
  9.8954141e-01 -6.5968208e+00 -2.3244844e+01 -4.1169009e+00
 -1.4025612e+01 -1.8870968e+01 -5.5849485e+00 -1.7078753e+01
 -1.3378515e+01 -2.1596985e+00 -1.6272934e+01 -1.0227027e+01
 -3.3809596e-01 -1.5124874e+01 -8.8685169e+00  2.8942609e+00
 -7.1433501e+00 -3.6756921e+00  4.6260328e+00 -1.5216091e+00
 -4.6349611e+00 -8.5738773e+00 -1.0372704e+01 -3.9066143e+00
 -6.8960414e+00 -8.0807791e+00  2.9747934e+00  7.7382846e+00]",Number_7
"[-365.9765      155.11925     -75.37483      13.417041     35.1845
  -37.49861     -21.851784    -32.449436    -42.5249        4.7192693
  -13.396852    -38.24969      -2.3461397    -8.54441     -24.845007
   -4.02362     -12.244849    -20.908054     -7.940246    -16.322914
  -15.083619     -4.515254    -14.771247     -8.065838      0.89221174
  -16.026855    -12.550065      1.829424     -6.3046727    -6.736989
    1.4738408    -0.43657038   -3.012542     -8.772273    -11.177404
   -3.962796     -5.9693623    -8.0885105     1.9975868     8.389439  ]",Number_7
"[-3.8846664e+02  1.7305190e+02 -9.6532898e+01  1.6738668e+01
  3.4481663e+01 -4.9031513e+01 -1.8229965e+01 -3.2657368e+01
 -5.1853737e+01  6.2327385e+00 -9.1573248e+00 -3.9033630e+01
 -1.0083468e+00 -6.6163969e+00 -2.5032825e+01 -7.7321792e+00
 -1.6261404e+01 -1.7664778e+01 -2.6350694e+00 -1.5336853e+01
 -1.3839094e+01 -3.8073232e+00 -1.7673105e+01 -1.1098566e+01
  1.1365632e+00 -1.1631651e+01 -1.0248556e+01 -6.5016431e-01
 -4.4613099e+00 -3.3578506e+00 -1.4945494e+00 -9.3794835e-01
  9.0549988e-01 -7.3544340e+00 -9.0446577e+00 -3.2847998e+00
 -9.9050055e+00 -9.9878149e+00 -1.4187416e+00 -1.1770103e-01]",Number_7
"[-3.68379669e+02  1.57107010e+02 -8.65303574e+01  1.37286425e+01
  3.34668961e+01 -4.54521179e+01 -2.26324825e+01 -3.15425739e+01
 -4.30280151e+01  6.71503830e+00 -1.38723879e+01 -3.95977898e+01
  7.26535976e-01 -3.61033344e+00 -2.13491039e+01 -5.23198318e+00
 -1.54702406e+01 -1.93553562e+01 -5.52681732e+00 -1.52064552e+01
 -1.11406975e+01 -4.13312960e+00 -2.08987827e+01 -1.22227163e+01
  4.55222540e-02 -1.51849165e+01 -9.65999699e+00  2.38038993e+00
 -7.11805201e+00 -4.02769995e+00  3.64707255e+00 -2.86872196e+00
 -6.52808952e+00 -9.35962296e+00 -9.78353500e+00 -4.93419123e+00
 -8.35490894e+00 -7.68542099e+00  2.98216987e+00  9.16556835e+00]",Number_7
"[-370.12585     166.97446     -90.1686       10.416572     34.88831
  -43.089252    -20.308422    -30.890825    -44.53979       7.054021
  -11.559806    -39.290874     -1.7773322    -9.045068    -26.497833
   -3.968921    -13.3494835   -23.28944      -7.05603     -11.097561
   -9.599573     -3.5296798   -17.53942     -11.181121     -1.2636999
  -15.970412    -12.448474     -0.7906881    -7.0891385    -4.60435
    0.94441926   -2.411554     -2.6772344    -6.691052     -8.199798
   -3.4541655    -9.505016    -11.61093      -3.1960237    -1.5491711 ]",Number_7
"[-381.06735     154.23885     -88.07489      14.2982645    32.390545
  -45.135532    -19.121613    -31.009478    -46.069588      4.256231
  -14.818258    -37.94456       3.6592717    -3.7508354   -23.555267
   -5.5463877   -14.029715    -18.276197     -5.6944947   -15.51816
   -9.045496      1.27289     -14.98913      -9.7196665    -0.60913736
  -15.386215     -8.955571      2.5306227    -6.801304     -3.9930012
    3.1662405    -0.81945693   -2.6023822    -6.937411     -7.0980034
   -1.7092851    -8.826539    -11.418442     -2.9719253    -3.1771734 ]",Number_7
"[-363.94064     148.4299      -79.5494       13.546532     30.889963
  -43.25751     -21.464634    -30.331955    -41.704353      5.5659194
  -13.80511     -38.8945       -1.0205882    -5.6012025   -23.392046
   -7.25726     -14.717058    -16.672342     -3.1635273   -14.063524
  -10.409846     -0.94237643  -17.355902    -11.7948065     0.608153
  -14.703896    -12.087665      2.3852274    -3.9917438    -5.1961484
    0.68080395   -0.5426829    -1.8761656    -7.0272365    -8.05704
   -2.4995708    -8.037169    -10.728595     -2.0790095    -0.64244604]",Number_7
"[-3.6768842e+02  1.5066885e+02 -7.0521782e+01  1.2293812e+01
  2.9183607e+01 -3.8179409e+01 -2.0754978e+01 -3.5815300e+01
 -4.5717060e+01  5.9646597e+00 -1.1913916e+01 -4.0428352e+01
 -3.5447743e+00 -3.4822972e+00 -2.0420908e+01 -7.6868367e+00
 -1.4912977e+01 -1.5015222e+01 -2.9535191e+00 -1.6477282e+01
 -1.2690615e+01 -1.6489755e+00 -1.8998957e+01 -1.4330867e+01
  8.5182542e-01 -1.2392409e+01 -1.1807840e+01 -1.4219417e-02
 -5.4442167e+00 -2.8295171e+00  3.4406714e+00 -7.4960190e-01
 -1.7958505e+00 -6.5594077e+00 -1.0182893e+01 -2.9572370e+00
 -4.1579280e+00 -7.1379771e+00  4.0228650e-01  3.3867950e+00]",Number_7
"[-376.9977      160.71729     -75.487495      7.0066586    33.101376
  -35.2902      -24.39352     -37.536304    -45.33028       2.0553026
  -15.784044    -38.27872      -0.58314764   -5.8585153   -23.373508
   -5.5140843   -14.20566     -20.61508      -5.100138    -11.522614
  -10.571257     -3.0677373   -17.050188    -11.852258     -0.5069893
  -14.676942    -11.836736      2.206735     -4.0142193    -4.8401346
    0.9427774    -0.68832844   -0.6086679    -4.83628      -7.8737965
   -1.8022411    -4.2657332    -7.7581363    -1.8223646    -1.0789666 ]",Number_7
"[-3.54836578e+02  1.38106018e+02 -8.07255630e+01  1.46093359e+01
  2.78646393e+01 -3.80416374e+01 -1.57530804e+01 -3.71905556e+01
 -4.37076492e+01  1.05263815e+01 -1.79960346e+01 -4.32931366e+01
  1.24989069e+00 -5.31795549e+00 -2.14923058e+01 -1.72222924e+00
 -1.12794018e+01 -1.37779016e+01 -2.44760418e+00 -1.83127499e+01
 -1.63945637e+01 -6.50162315e+00 -1.65164261e+01 -5.46640730e+00
  2.90383607e-01 -1.62173271e+01 -6.14757586e+00  3.41391015e+00
 -7.89547586e+00 -1.54809463e+00  4.41687965e+00 -3.49703646e+00
 -3.86137795e+00 -6.99321079e+00 -8.14084530e+00 -5.87114871e-01
 -3.94286251e+00 -4.75779247e+00  5.13301992e+00  7.27643871e+00]",Number_7
"[-367.25198    178.12013   -110.58617     17.06673     29.02969
  -50.391666    -6.5036936  -31.762094   -52.727306    12.765654
  -14.019641   -43.169014     3.8697078   -8.558857   -26.68427
   -5.469178   -20.334448   -20.038559    -2.817947   -17.283358
  -10.88639     -4.9796457  -23.675304    -7.8256865    1.9723221
  -18.404278    -7.7845254    2.665981    -9.447932    -3.3949687
    0.6679231   -4.707885    -1.3963215   -5.745324    -6.657668
   -2.2238467  -11.460935    -8.5865555    3.8293598    4.2167563]",Number_7
"[-3.76758911e+02  1.75840088e+02 -9.55967865e+01  2.06487484e+01
  2.60130558e+01 -5.06322746e+01 -9.01487064e+00 -3.28075142e+01
 -5.37379570e+01  9.63512230e+00 -1.49812469e+01 -4.33077316e+01
  1.12703681e+00 -9.52979279e+00 -2.36169472e+01 -1.83488142e+00
 -1.94524212e+01 -2.10201683e+01 -3.24377441e+00 -2.04700432e+01
 -1.70385323e+01 -6.06460428e+00 -2.07237740e+01 -8.81260777e+00
 -1.12414740e-01 -1.62493229e+01 -4.15452433e+00  4.13170528e+00
 -1.08022928e+01 -4.58951569e+00  1.99413133e+00 -4.42633295e+00
 -2.85589075e+00 -5.91226435e+00 -6.84221792e+00 -1.02530491e+00
 -5.78844023e+00 -2.54620957e+00  9.10045815e+00  1.09999895e+01]",Number_7
"[-359.68417     171.63948    -102.90582      18.475014     30.917505
  -50.26193      -9.208251    -34.860226    -54.299644     15.833118
   -9.279504    -43.83141       1.1814929    -9.207879    -26.282043
   -1.7803987   -15.464832    -19.902357     -3.8474338   -17.512888
  -14.945986     -8.61627     -21.013056     -4.602243      0.8125377
  -20.506317     -8.054608      2.7856398   -10.952274     -5.038565
    0.5050378    -5.6295176    -1.5408715    -2.1929853    -4.6116314
   -3.2447238    -9.76642      -7.2967014    -0.40209243   -0.8914809 ]",Number_7
"[-390.88593    152.29938   -100.88973     20.95897     34.17308
  -47.920864   -11.395354   -28.660568   -43.863914    13.228723
  -15.169891   -40.59296      4.2897015   -8.888235   -22.58073
    1.4911349  -15.0638     -17.871813    -2.7703536  -20.80901
  -14.705888    -1.0156627  -16.961016    -9.634189    -3.254822
  -16.300947    -2.038167     2.5370035  -14.201011    -4.2739043
    2.899762    -5.872128    -2.3578756   -2.7195191   -5.537268
   -4.578202   -12.897571    -8.87081      1.7788185   -2.6072738]",Number_7
"[-3.86009735e+02  1.50138702e+02 -9.90419998e+01  1.66383286e+01
  2.97990837e+01 -4.54150162e+01 -7.42502069e+00 -3.08787861e+01
 -5.04430618e+01  1.23407993e+01 -1.13890476e+01 -4.14707947e+01
  3.16186166e+00 -6.44978285e+00 -2.39209499e+01 -1.41890812e+00
 -1.56695890e+01 -2.08653069e+01 -3.33066773e+00 -1.48755293e+01
 -1.26836557e+01 -4.57690716e+00 -1.63360271e+01 -4.53955793e+00
 -4.58264321e-01 -1.76892948e+01 -3.01143146e+00  5.50216150e+00
 -1.16121855e+01 -5.02795458e+00  2.79418612e+00 -3.68950224e+00
  2.39637211e-01 -1.82618940e+00 -6.40961361e+00 -1.38674629e+00
 -5.54090357e+00 -6.98025417e+00 -1.63698745e+00 -5.92979050e+00]",Number_7
"[-3.5489590e+02  1.4954604e+02 -1.0228110e+02  1.5275993e+01
  2.7305681e+01 -4.8600685e+01 -8.1433630e+00 -3.0674223e+01
 -4.9813911e+01  1.3342917e+01 -1.1358365e+01 -4.1867695e+01
  1.9196765e+00 -7.6277485e+00 -2.2510849e+01 -4.5393103e-01
 -1.6373295e+01 -1.9105387e+01 -1.1825200e+00 -1.6257105e+01
 -1.5113779e+01 -5.4346647e+00 -1.5291062e+01 -2.5239875e+00
  1.1183258e+00 -1.6902424e+01 -4.4332829e+00  3.7015796e+00
 -9.5680733e+00 -3.5505886e+00  2.4867570e-01 -5.1227288e+00
 -5.3774583e-01 -2.9027884e+00 -3.9004874e+00 -4.8748216e-01
 -9.4060287e+00 -8.7551050e+00 -2.9372668e+00 -8.9602003e+00]",Number_7
"[-3.08020081e+02  1.84802002e+02 -1.15818420e+02  2.49701519e+01
  3.17638149e+01 -5.40817223e+01 -9.42477512e+00 -3.70613289e+01
 -5.67399178e+01  2.11396122e+01 -5.69127035e+00 -4.48299980e+01
  6.30696154e+00 -7.74905384e-01 -2.62191105e+01 -4.04022598e+00
 -1.30322571e+01 -1.84302692e+01 -4.12799978e+00 -1.41475487e+01
 -9.70689678e+00 -7.08536100e+00 -2.32009563e+01 -7.26803064e+00
 -1.23453535e-01 -1.78147030e+01 -2.05123520e+00  6.34273338e+00
 -1.30112333e+01 -6.40873194e+00  1.90441191e+00 -7.19423532e+00
 -4.90890026e+00 -5.00845671e+00 -1.01323805e+01 -8.27702618e+00
 -1.03636131e+01 -6.22934294e+00  5.51502609e+00  1.11774397e+01]",Number_7
"[-3.6061108e+02  1.4797186e+02 -9.0498131e+01  1.9893030e+01
  2.6192999e+01 -4.8618137e+01 -9.9081583e+00 -3.1938690e+01
 -4.8054096e+01  1.5596246e+01 -9.9103956e+00 -4.2742290e+01
  2.9232439e-01 -6.7980862e+00 -2.3587339e+01 -4.5490918e+00
 -1.6554279e+01 -1.7351082e+01 -3.5752976e+00 -1.8639261e+01
 -1.4093785e+01 -5.2958274e+00 -1.8064383e+01 -6.7664695e+00
 -3.2513134e+00 -1.8387526e+01 -2.2982283e+00  3.5025098e+00
 -1.4276451e+01 -5.6940198e+00  1.7827215e+00 -5.8982635e+00
 -2.0772018e+00 -4.5496125e+00 -1.0588254e+01 -6.2925811e+00
 -7.5331769e+00 -4.7477341e+00  3.8160226e+00  5.5537343e+00]",Number_7
"[-3.19794952e+02  1.65415253e+02 -1.04686790e+02  1.64918938e+01
  3.30626488e+01 -5.20789642e+01 -1.57500134e+01 -3.04832230e+01
 -4.81967735e+01  1.04342308e+01 -1.25373745e+01 -4.11616211e+01
  2.58954477e+00 -6.07848120e+00 -2.29944992e+01 -1.15104842e+00
 -1.54155703e+01 -2.08101406e+01 -3.70811796e+00 -1.71382294e+01
 -1.62041607e+01 -4.55925465e+00 -1.52176027e+01 -8.50037003e+00
 -4.64226770e+00 -1.81711235e+01 -5.32006359e+00  2.69226480e+00
 -9.84383392e+00 -2.81167769e+00  2.15636969e+00 -4.16231155e+00
  1.28035367e+00 -2.51087666e-01 -5.53343344e+00 -2.25370646e+00
 -7.64072275e+00 -8.16697788e+00  1.27082229e+00  1.10665989e+00]",Number_7
"[-4.1640585e+02  1.2871120e+02 -8.3277237e+01  6.7306595e+00
  2.2923342e+01 -3.8070324e+01 -7.3550048e+00 -1.8777521e+01
 -3.7575008e+01  2.3381529e+00 -1.4363099e+01 -3.1600378e+01
  2.1569479e+00 -8.2300596e+00 -2.0002644e+01 -5.6857628e-01
 -1.2105353e+01 -1.3868455e+01  1.1177404e+00 -1.3387652e+01
 -1.3048206e+01  1.2579946e-01 -9.6117325e+00 -6.3396268e+00
  3.4325737e-01 -9.7973652e+00 -3.9784210e+00  1.7677522e+00
 -6.2225599e+00 -1.1495073e+00  2.1190360e+00 -2.7219715e+00
  5.6097156e-01 -1.4508526e+00 -4.2675600e+00  3.2372043e-02
 -3.8243270e+00 -4.5800834e+00  9.6472585e-01 -2.0332429e+00]",Number_7
"[-3.56638702e+02  1.38852509e+02 -7.72027664e+01  1.60300484e+01
  3.05659122e+01 -3.81669693e+01 -1.92752705e+01 -3.91602211e+01
 -4.67130470e+01  8.39560032e+00 -1.56027870e+01 -4.20055389e+01
  1.83042562e+00 -1.15664661e+00 -1.96783409e+01 -4.94229221e+00
 -1.44236851e+01 -1.54279785e+01 -2.56277704e+00 -1.68003006e+01
 -1.33674831e+01 -1.75020492e+00 -1.54035006e+01 -9.28792000e+00
 -1.88122809e-01 -1.45482254e+01 -7.93541670e+00  4.31993771e+00
 -4.00812721e+00 -3.17046452e+00  8.81501377e-01 -2.99578333e+00
 -3.63408875e+00 -8.55018997e+00 -8.99463272e+00 -2.47760987e+00
 -8.50976658e+00 -1.14407825e+01 -3.37394309e+00 -2.12287426e-01]",Number_7
"[-376.24225     162.38937     -90.040375     20.062145     40.40257
  -40.288464    -17.32795     -34.81255     -48.4838        6.4741406
  -14.698568    -39.372765      1.9375381    -6.6478767   -21.846325
   -0.69533837  -13.95341     -18.22857      -0.73707914  -13.268412
  -13.434359     -4.7892895   -17.897907     -8.576521      0.7518361
  -15.700059     -8.2737465     3.3149593    -8.001113     -5.234053
    2.8636298    -0.603099     -1.3046678    -5.2274866    -6.862266
   -3.4922297   -10.024813    -10.07503      -2.8046992    -5.645441  ]",Number_7
"[-3.91652130e+02  1.47136215e+02 -7.35617599e+01  2.07599258e+01
  3.30535774e+01 -3.59748154e+01 -1.71439743e+01 -3.11740437e+01
 -4.43300629e+01  2.08606601e+00 -1.56314259e+01 -3.65585938e+01
 -1.36886179e+00 -8.95777607e+00 -2.14845009e+01 -3.58686835e-01
 -1.09571714e+01 -1.80594978e+01 -4.24091482e+00 -1.32549648e+01
 -1.29513636e+01 -4.86289835e+00 -1.46545496e+01 -6.54102230e+00
  9.66449857e-01 -1.43971195e+01 -9.05443764e+00  3.05220199e+00
 -4.54429102e+00 -3.76778936e+00  1.37557113e+00 -1.29818940e+00
 -1.78696108e+00 -6.23976374e+00 -8.12251759e+00 -4.18785667e+00
 -9.31541729e+00 -1.05164490e+01 -6.17442179e+00 -1.11020088e+01]",Number_7
"[-369.57007     167.33728     -88.7148       22.901587     38.548668
  -40.469566    -15.5193615   -32.364437    -49.851635      4.7954674
  -15.093608    -41.316525     -0.7183076    -6.575319    -21.132294
   -1.9977968   -15.152316    -17.96864      -2.7403824   -17.89337
  -14.729027     -2.2594755   -17.197031     -9.483991      2.1960406
  -13.546794     -8.457361      2.816675     -6.2962594    -3.696132
    1.1978225    -3.016352     -1.0273157    -3.6852717    -5.5618353
   -1.7354003    -8.065203     -7.7133675    -0.69338524   -6.2751646 ]",Number_7
"[-3.5856604e+02  1.5749236e+02 -9.6958099e+01  1.7855581e+01
  3.7950760e+01 -4.6148487e+01 -2.1499899e+01 -3.6081470e+01
 -4.7898499e+01  7.0055485e+00 -1.7126219e+01 -4.0464157e+01
  4.7900758e+00 -5.7255797e+00 -2.4044212e+01 -3.4255238e+00
 -1.5791463e+01 -1.6979399e+01 -1.5639507e+00 -2.0270529e+01
 -1.6041195e+01  6.5195680e-01 -1.6286020e+01 -1.2050992e+01
  5.3433913e-01 -1.4594480e+01 -9.9610968e+00  2.2004120e+00
 -6.8936119e+00 -5.2774401e+00  3.2478702e-01 -2.1756647e+00
 -5.6593162e-01 -5.9289131e+00 -8.0771189e+00 -1.3229820e+00
 -8.3411360e+00 -1.1111930e+01 -1.9553609e+00 -4.7488627e+00]",Number_7
"[-364.20932     165.05405     -82.742325     14.616664     32.284065
  -40.08488     -20.639889    -34.83759     -41.629963      9.347261
  -17.438961    -39.788673      4.754532     -5.379484    -24.836376
   -4.09571     -14.053448    -18.011429     -1.763271    -13.185222
  -13.0453205    -5.0418344   -16.968262     -8.035128     -0.75625294
  -15.429984     -4.377936      6.3490624    -7.6705604    -4.9528456
    2.0635471    -4.106554     -3.815915     -5.7295585    -8.072583
   -4.3916683    -9.348759     -7.5178623     3.6802373     1.8353617 ]",Number_7
"[-3.6479352e+02  1.6641637e+02 -9.9521530e+01  1.6647449e+01
  3.6567478e+01 -4.8509678e+01 -2.1056339e+01 -3.6550667e+01
 -4.9181263e+01  7.6455717e+00 -1.8115282e+01 -4.2182991e+01
  4.1483936e+00 -8.7338657e+00 -2.5950920e+01 -7.1118796e-01
 -1.5038370e+01 -1.9588728e+01 -2.1119441e-01 -1.4922272e+01
 -1.6141985e+01 -6.6654711e+00 -1.8841473e+01 -7.2656603e+00
  1.2194163e+00 -1.5720185e+01 -4.5260129e+00  5.6745191e+00
 -9.4710655e+00 -4.1915135e+00  4.2988315e+00 -2.7214987e+00
 -2.7555246e+00 -5.4655361e+00 -8.0314751e+00 -4.1459765e+00
 -9.7802858e+00 -8.2066298e+00  1.6962696e+00 -1.1564255e+00]",Number_7
"[-361.08456    169.24725    -99.07708     13.798895    36.07973
  -45.00419    -18.342781   -35.880234   -48.69528      8.094518
  -17.817202   -41.744984     5.0858436   -7.9753146  -26.952465
   -1.6970139  -15.291388   -23.503023    -4.666585   -11.95046
  -10.760932    -5.168361   -16.95793     -6.2589583   -1.626402
  -15.592294    -1.9797069    3.4496706  -11.631738    -2.3670328
    3.442018    -6.655546    -4.5168467   -5.7696586   -9.047944
   -6.130963   -13.138042   -12.127731    -1.5359844   -2.214193 ]",Number_7
"[-377.5782     166.65273    -87.79077     14.318122    35.766663
  -36.158497   -17.235891   -33.427      -44.195454     8.077376
  -13.360141   -36.086567     3.478545    -5.9227376  -20.134926
    1.3884486  -13.154131   -20.564314    -3.0780337  -11.820716
  -12.812633    -6.9493146  -16.302464    -4.7477903   -0.6178178
  -18.048962    -5.333529     5.8794312   -9.816819    -6.571132
    1.5072049   -5.7839727   -5.0218854   -3.960815    -7.392435
   -7.560799   -11.316248    -9.210592    -4.5149527   -6.145843 ]",Number_7
"[-3.85674133e+02  1.61633591e+02 -9.68238297e+01  1.44645576e+01
  3.27724991e+01 -4.62597618e+01 -1.76147976e+01 -3.70582237e+01
 -5.06324425e+01  9.64676857e+00 -1.40722504e+01 -4.20814362e+01
  1.65003049e+00 -7.66027641e+00 -2.49370670e+01 -3.35697794e+00
 -1.60380077e+01 -1.91877613e+01 -1.52722669e+00 -1.42724581e+01
 -1.30641365e+01 -3.90366387e+00 -1.62042065e+01 -6.31726217e+00
  7.63570607e-01 -1.51554756e+01 -5.26025820e+00  4.55772972e+00
 -7.25834799e+00 -3.04495072e+00  2.60252595e+00 -1.59881020e+00
 -3.34925741e-01 -5.63616610e+00 -6.89755249e+00 -4.61825192e-01
 -8.08958054e+00 -9.55868340e+00 -3.31976265e-01 -1.91620588e+00]",Number_7
"[-3.3412729e+02  1.7843227e+02 -9.6231789e+01  1.3667180e+01
  3.3935654e+01 -4.2565022e+01 -1.8485071e+01 -3.6892326e+01
 -4.9684757e+01  9.8181906e+00 -1.4077152e+01 -4.0844582e+01
  4.8490748e+00 -4.9775515e+00 -2.4308403e+01  2.4833389e-01
 -1.2093942e+01 -2.0316967e+01 -4.9263048e-01 -8.6598997e+00
 -1.1747006e+01 -7.5159903e+00 -1.8826319e+01 -5.7239332e+00
  2.9565535e+00 -1.5219293e+01 -6.1913242e+00  6.4106679e+00
 -6.6189394e+00 -5.6737442e+00  2.6031530e-01 -4.2984281e+00
 -2.8656509e+00 -5.0272694e+00 -7.0520620e+00 -4.6639667e+00
 -1.2325675e+01 -1.1795909e+01 -3.6985242e+00 -7.6978683e+00]",Number_7
"[-362.25052     146.30022     -80.28307      16.545914     30.414696
  -41.540184    -18.707628    -35.345295    -43.970993      8.630221
  -16.570663    -40.563084      3.5636196    -3.1951108   -21.842337
   -3.5277898   -11.12365     -13.363629     -3.8570337   -19.214909
  -13.928        -1.5678079   -14.4295025    -7.7804627    -0.66908735
  -14.40666      -5.8222346     3.3524292    -5.966051     -0.91090965
    2.89075      -3.3254297    -1.6761643    -6.038541     -9.296395
   -2.0397317    -4.624323     -5.9304104     2.274609      4.6394205 ]",Number_7
"[-382.50952     157.61263     -90.62261      11.607381     27.77231
  -41.582897    -12.292716    -35.225574    -47.56769      12.056046
  -16.593353    -46.656628      2.6631308    -3.260046    -24.26174
   -1.7708274    -9.756473    -15.420482     -1.8652105   -13.927831
  -13.209313     -6.3808246   -17.335867     -2.9895356     4.446849
  -15.645241     -4.979475      8.014899     -7.2837234    -4.818525
    4.707784     -1.4029326    -4.053658     -6.771801     -6.2097435
    0.42857853   -3.1766262    -0.88723254    9.179037      5.156879  ]",Number_7
"[-347.38177     166.4766      -95.622505     13.21418      25.877375
  -46.02896     -12.289737    -39.49636     -55.160698     10.580977
  -18.33082     -50.69064       1.5864158    -3.9321318   -26.331303
   -3.7095802   -12.953699    -18.4215       -2.7838817   -14.531184
  -13.5377245    -6.2244334   -17.571646     -3.6296775     3.5230985
  -16.070309     -5.2541237     7.0245614    -7.364678     -4.814952
    2.69267      -1.9626169    -1.5347848    -4.8024483    -5.7821527
   -0.45080316   -5.093369     -2.3666022     7.0509477     2.8817868 ]",Number_7
"[-3.61686920e+02  1.68846344e+02 -1.01951096e+02  1.65758972e+01
  2.99599113e+01 -4.53710518e+01 -1.17814236e+01 -3.90647659e+01
 -5.58427238e+01  1.01328449e+01 -1.59207201e+01 -4.70591774e+01
  1.08444083e+00 -5.39479160e+00 -2.38972797e+01 -3.14745665e+00
 -1.46453190e+01 -1.75474739e+01 -3.29740953e+00 -1.67877464e+01
 -1.39224825e+01 -6.71326303e+00 -1.66769829e+01 -1.27435577e+00
  1.34374619e+00 -1.80636635e+01 -2.32985139e+00  6.49516916e+00
 -1.09896526e+01 -4.29603910e+00  3.66428185e+00 -3.45485234e+00
 -3.01608133e+00 -6.58230829e+00 -6.64259624e+00  3.32350701e-01
 -4.78030062e+00 -1.32060528e+00  9.15287209e+00  5.13761568e+00]",Number_7
"[-336.72714    168.29929   -104.87992     19.818403    31.561396
  -51.126476   -13.13313    -40.075607   -54.136795    14.0848055
  -21.099981   -53.40507      3.0042715   -4.539145   -27.630835
   -7.130825   -14.448123   -12.35682     -3.5580895  -22.935654
  -13.095216    -3.9549525  -20.394747    -3.8697145    1.5922531
  -18.383665    -1.0603236    7.06225    -12.492036    -4.2246633
    4.1187434   -4.011489    -3.7042942   -6.9269176   -3.582958
    5.8631964   -1.4498311    1.32649     11.853324     3.2382212]",Number_7
